"column_C_ID_TICKET","column_C_REPORTED_DATE","column_C_SUMMARY","column_C_WITEL","column_C_WORK_ZONE","column_C_PERANGKAT"
"INC18819775","2024-11-07 02:05:03","[SQM PROACTIVE GAMAS] [ODP-MLG-FBU/26,ODP-MLG-FBU/27,ODP-MLG-FBU/25]| IboosterG_6911730917833","MALANG","MLG","ODP-MLG-FBU/26,ODP-MLG-FBU/27,ODP-MLG-FBU/25"
"INC18819607","2024-11-07 01:50:07","[SQM PROACTIVE GAMAS] [ODP-SMJ-FD/2,ODP-SMJ-FD/6]| IboosterG_44911730917014","MADIUN","SMJ","ODP-SMJ-FD/2,ODP-SMJ-FD/6"
"INC18819055","2024-11-07 01:35:08","[SQM PROACTIVE GAMAS] [ODP-KML-FAC/33]| IboosterG_8911730916088","MADURA","KML","ODP-KML-FAC/33"
"INC18817416","2024-11-07 00:27:32","[CRA] Cut Over Revitalisasi FTM STO Sumberejo","MADIUN","SMJ","GPON00-D5-SMJ-3,GPON04-D5-SMJ-2,GPON03-D5-SMJ-2KNR,GPON02-D5-SMJ-2SWS,ODC-SMJ-FA,ODC-SMJ-FH,ODC-SMJ-FF,ODC-SMJ-FL,ODC-SMJ-FN,ODC-SMJ-FG,ODC-SMJ-FK,ODC-SMJ-FM,ODC-SMJ-FE,ODC-SMJ-FC,ODC-SMJ-FB"
"INC18816731","2024-11-07 00:05:12","[SQM PROACTIVE GAMAS] [ODP-UBU-FA/18]| IboosterG_33911730907979","SINGARAJA","UBU","ODP-UBU-FA/18"
"INC18816495","2024-11-06 23:52:25","CANCEL | MERUJUK KE TIKET INC18814403 | GAMAS R5 | ACCESS | GPON | CRA | PENYAMBUNGAN | UBUD (PAYANGAN) | (EST 07/11/2024 02:00) | GPON04-D5-UBU-3PAY | 172.25.245.211 | (PIC A.A. BAGUS PRAMANANUGRAHA HARI PUTRA/ 890013/ 082132533351)","SINGARAJA","UBU","GPON04-D5-UBU-3PAY"
"INC18816456","2024-11-06 23:50:48","[SQM PROACTIVE GAMAS] [ODP-BLB-FAE/37]| IboosterG_6911730909771","MALANG","BLB","ODP-BLB-FAE/37"
"INC18816298","2024-11-06 23:50:40","[SQM PROACTIVE GAMAS] [ODP-SMJ-F05/2]| IboosterG_44921730909813","MADIUN","SMJ","ODP-SMJ-F05/2"
"INC18814193","2024-11-06 22:39:31","GAMAS R5 | ACCESS | DISTRIBUSI | AKIBAT POHON  | PENYAMBUNGAN | DS-ARB-FE-05-01/01-05-02 | AROSBAYA | (EST 07/11/2024 01:00)| ODC-ARB-FE | GPON02-D5-ARB-2 [3/8] | (PIC: Joni Suprapto +628117600800)","MADURA","ARB","ODC-ARB-FE,DS-ARB-FE-05-01/01-01"
"INC18814113","2024-11-06 22:35:06","[SQM PROACTIVE GAMAS] [ODP-KBS-FK/79]| IboosterG_9911730905270","JEMBER","KBS","ODP-KBS-FK/79"
"INC18813284","2024-11-06 22:05:05","[SQM PROACTIVE GAMAS] [ODP-GEN-FM/42]| IboosterG_9911730903450","JEMBER","GEN","ODP-GEN-FM/42"
"INC18812925","2024-11-06 21:43:48","GAMAS R5 | ACCESS | DISTRIBUSI | IMBAS HEWAN | SAMBUNG TEMPORER| DS-MYR-FE-34/01 | KENJERAN (SURABAYA UTARA)| (EST 07/11/2024 02:00) | ODC-MYR-FEX | GPON10-D5-MYR-2 [7/","SURABAYA UTARA","KJR","ODC-MYR-FEX,DS-MYR-FE-34-06/01.01"
"INC18811584","2024-11-06 20:58:47","GAMAS R5 | ACCESS | DISTRIBUSI | RABASAN | PENYAMBUNGAN | DS-DMO-FE-34-01-01/04 | MERGOYOSO | (EST 06/11/2024 23:00) | GPON19-D5-DMO-3 [8/5] | (PIC PAK FIRMAN HIDAYAT +628114222252)","SURABAYA UTARA","MGO","DS-DMO-FE-34-01-01/04-01,ODC-DMO-FEL"
"INC18810883","2024-11-06 20:35:07","[SQM PROACTIVE GAMAS] [ODP-SMJ-FA/57,ODP-SMJ-FA/53,ODP-SMJ-FA/56]| IboosterG_449111730898118","MADIUN","SMJ","ODP-SMJ-FA/57,ODP-SMJ-FA/53,ODP-SMJ-FA/56"
"INC18810884","2024-11-06 20:35:07","[SQM PROACTIVE GAMAS] [ODP-TRE-FA/17]| IboosterG_44911730898082","KEDIRI","TRE","ODP-TRE-FA/17"
"INC18810179","2024-11-06 19:50:11","[SQM PROACTIVE GAMAS] [ODP-SMO-FA/16,ODP-SMO-FA/43]| IboosterG_44911730895353","MADIUN","SMO","ODP-SMO-FA/16,ODP-SMO-FA/43"
"INC18809529","2024-11-06 19:35:11","[SQM PROACTIVE GAMAS] [ODP-MLG-FCF/2,ODP-MLG-FCF/3]| IboosterG_6911730894433","MALANG","MLG","ODP-MLG-FCF/2,ODP-MLG-FCF/3"
"INC18809530","2024-11-06 19:35:11","[SQM PROACTIVE GAMAS] [ODP-PME-FBF/23,ODP-PME-FBF/21]| IboosterG_8911730894473","MADURA","PME","ODP-PME-FBF/23,ODP-PME-FBF/21"
"INC18806692","2024-11-06 18:05:04","[SQM PROACTIVE GAMAS] [ODP-JBR-FAQ/10]| IboosterG_33911730886327","DENPASAR","JBR","ODP-JBR-FAQ/10"
"INC18804280","2024-11-06 17:05:08","[SQM PROACTIVE GAMAS] [ODP-KBS-FAH/22]| IboosterG_9911730885469","JEMBER","KBS","ODP-KBS-FAH/22"
"INC18804523","2024-11-06 17:05:07","[SQM PROACTIVE GAMAS] [ODP-PME-FC/23]| IboosterG_8931730885569","MADURA","PME","ODP-PME-FC/23"
"INC18804438","2024-11-06 17:00:03","GAMAS R5 | ACCESS | FEEDER | KU TERSERET KENDARAAN | PENYAMBUNGAN | FE-CRM-12-01 | CERME | (EST 07/11/2024 02:00) | GPON00-D5-CME-2 [11/3,11/7,11/8,7/10,7/11,7/12,7/13,7/14,7/15,7/7,7/8,7/9,8/0,8/1] | KU 96 CORE (PIC PAK FIRMAN HIDAYAT +628114222252)","SURABAYA UTARA","CRM","ODC-CRM-FAA,FE-CRM-12-01"
"INC18804038","2024-11-06 16:50:23","[SQM PROACTIVE GAMAS] [ODP-BWG-FT/6,ODP-BWG-FT/5,ODP-BWG-FT/7]| IboosterG_9911730884558","JEMBER","BWG","ODP-BWG-FT/6,ODP-BWG-FT/5,ODP-BWG-FT/7"
"INC18803705","2024-11-06 16:45:59","GAMAS R5 | ACCESS | DISTRIBUSI | RABASAN | PENYAMBUNGAN DAN GANTI KABEL KU 1040 METER | DS-KPN-FE-21-02 | KUPANG | (EST 06/11/2024 20:00) | GPON04-D5-KPN-3BAU [1/8,2/12] | (PIC PAK YOHANES GERSON +628123750987)","NTT","KPN","ODP-KPN-FTA/09,ODP-KPN-FTA/12,ODP-KPN-FTA/10,ODP-KPN-FTA/13,ODP-KPN-FTA/11,ODP-KPN-FTA/15,ODP-KPN-FTA/14,ODC-KPN-FTA,DS-KPN-FE-21-02"
"INC18803007","2024-11-06 16:35:11","(REPAIR) IP T3: TERA : P-D5-RKT TO P-D4-KBU, BE26 0/15/0/0 1x100G DOWN, TRAFIK NORMAL","SURABAYA SELATAN","RKT",""
"INC18803188","2024-11-06 16:35:10","[SQM PROACTIVE GAMAS] [ODP-BKI-FF/34]| IboosterG_9911730883768","JEMBER","BKI","ODP-BKI-FF/34"
"INC18801657","2024-11-06 16:07:00","GAMAS R5 | ACCESS | DISTRIBUSI | TERBAKAR | PENYAMBUNGAN | DS-MJS-FE-08-02/06-01 | MOJOSARI | (EST 06/11/2024 19:30) | ODC-MJS-FY | GPON01-D5-MJS-2 [1/12] | (PIC PAK Bahtiar Barid  +6281332111120)","SIDOARJO","MJS","ODC-MJS-FY,DS-MJS-FE-08-02/06-01"
"INC18800998","2024-11-06 15:50:29","[SQM PROACTIVE GAMAS] [ODP-RKT-FPC/50]| IboosterG_7911730880990","SURABAYA SELATAN","RKT","ODP-RKT-FPC/50"
"INC18800997","2024-11-06 15:50:28","[SQM PROACTIVE GAMAS] [ODP-LWG-FA/48]| IboosterG_6911730881006","MALANG","LWG","ODP-LWG-FA/48"
"INC18800434","2024-11-06 15:46:25","GAMAS R5 | ACCESS | DISTRIBUSI | AKIBAT POHON | GANTI KFO 24C 90m| DS-MRR-FE-04-01/0 | MERAKURAK | (EST 06/11/2024 19:00) | ODC-MRR-FAD | GPON00-D5-TAW-3 [1/1, 1/2, 1/4, 1/5] | (PIC CITRA VIOLITA +6281222919594)","MADIUN","MRR","ODC-MRR-FAD,ODP-MRR-FAD/18,ODP-MRR-FAD/05,ODP-MRR-FAD/17,ODP-MRR-FAD/51,ODP-MRR-FAD/15,ODP-MRR-FAD/16,ODP-MRR-FAD/04,ODP-MRR-FAD/19,ODP-MRR-FAD/14,DS-MRR-FE-04-01/01.01"
"INC18797754","2024-11-06 15:05:13","[SQM PROACTIVE GAMAS] [ODP-GDG-FY/14]| IboosterG_6911730878482","MALANG","GDG","ODP-GDG-FY/14"
"INC18795509","2024-11-06 14:30:27","GAMAS R5 | ACCESS | DISTRIBUSI | TERBAKAR | PENYAMBUNGAN | DS-RGL-FE-01-01/01-01 | RENGEL | (EST 06/11/2024 18:30) | ODC-RGL-FAAA | GPON02-D5-RGL-2 [3/13] | (PIC Citra Violita +6281222919594)","MADIUN","RGL","ODC-RGL-FAA,DS-RGL-FE-01-01/01.01"
"INC18793651","2024-11-06 14:05:14","[SQM PROACTIVE GAMAS] [ODP-BWG-FT/20,ODP-BWG-FT/19]| IboosterG_9941730874684","JEMBER","BWG","ODP-BWG-FT/20,ODP-BWG-FT/19"
"INC18793649","2024-11-06 14:05:13","[SQM PROACTIVE GAMAS] [ODP-BWG-FT/26,ODP-BWG-FT/28,ODP-BWG-FT/27]| IboosterG_9921730874684","JEMBER","BWG","ODP-BWG-FT/26,ODP-BWG-FT/28,ODP-BWG-FT/27"
"INC18793650","2024-11-06 14:05:13","[SQM PROACTIVE GAMAS] [ODP-BWG-FT/34]| IboosterG_9931730874684","JEMBER","BWG","ODP-BWG-FT/34"
"INC18793648","2024-11-06 14:05:12","[SQM PROACTIVE GAMAS] [ODP-BWG-FT/5,ODP-BWG-FT/6,ODP-BWG-FT/7]| IboosterG_9911730874657","JEMBER","BWG","ODP-BWG-FT/5,ODP-BWG-FT/6,ODP-BWG-FT/7"
"INC18793647","2024-11-06 14:05:12","[SQM PROACTIVE GAMAS] [ODP-BWG-FT/33]| IboosterG_9911730874634","JEMBER","BWG","ODP-BWG-FT/33"
"INC18793728","2024-11-06 14:05:12","[SQM PROACTIVE GAMAS] [ODP-BWG-FT/21,ODP-BWG-FT/23,ODP-BWG-FT/22]| IboosterG_9911730874684","JEMBER","BWG","ODP-BWG-FT/21,ODP-BWG-FT/23,ODP-BWG-FT/22"
"INC18793721","2024-11-06 14:05:09","[SQM PROACTIVE GAMAS] [ODP-PME-FBF/20]| IboosterG_8911730874708","MADURA","PME","ODP-PME-FBF/20"
"INC18793720","2024-11-06 14:05:09","[SQM PROACTIVE GAMAS] [ODP-KML-FAC/45]| IboosterG_8911730874704","MADURA","KML","ODP-KML-FAC/45"
"INC18793719","2024-11-06 14:05:08","[SQM PROACTIVE GAMAS] [ODP-CRM-FAA/1,ODP-CRM-FAA/3]| IboosterG_8911730874683","SURABAYA UTARA","CRM","ODP-CRM-FAA/1,ODP-CRM-FAA/3"
"INC18793044","2024-11-06 13:50:45","[SQM PROACTIVE GAMAS] [ODP-BBE-FHD/10,ODP-BBE-FHD/9,ODP-KRP-FBS/10]| IboosterG_8911730873939","SURABAYA UTARA","BBE","ODP-BBE-FHD/10,ODP-BBE-FHD/9,ODP-KRP-FBS/10"
"INC18793112","2024-11-06 13:50:44","[SQM PROACTIVE GAMAS] [ODP-TMP-FA/36]| IboosterG_6911730873752","MALANG","TMP","ODP-TMP-FA/36"
"INC18791823","2024-11-06 13:35:08","[SQM PROACTIVE GAMAS] [ODP-BOW-FX/70]| IboosterG_9911730872849","JEMBER","BOW","ODP-BOW-FX/70"
"INC18791811","2024-11-06 13:35:05","[SQM PROACTIVE GAMAS] [ODP-BNO-FK/28]| IboosterG_33911730871048","DENPASAR","BNO","ODP-BNO-FK/28"
"INC18791812","2024-11-06 13:35:05","[SQM PROACTIVE GAMAS] [ODP-BNO-FK/45]| IboosterG_33931730870146","DENPASAR","BNO","ODP-BNO-FK/45"
"INC18790529","2024-11-06 13:09:48","GAMAS R5 | ACCESS | FEEDER | CABLE RUSAK | PENYAMBUNGAN | FE-BWG-20-01 | BANYUWANGI | (EST 06/11/2024 22:00) | ODC-BWG-FT | GPON03-D5-BWG-3 [7/1],[7/2],[7/3],[7/4] GPON04-D5-BWG-3 [5/2] GPON02-D5-BWG-3 [17/12],[12/5] GPON04-D5-BWG-3 [3/7] | KU 48 CORE | (PIC: SYAMSUL 081330576875)","JEMBER","BWG","ODC-BWG-FT,FE-BWG-20-01"
"INC18788552","2024-11-06 12:35:08","[SQM PROACTIVE GAMAS] [ODP-GSK-FAF/69]| IboosterG_8911730869373","SURABAYA UTARA","GSK","ODP-GSK-FAF/69"
"INC18788052","2024-11-06 12:27:32","(REPAIR) IP.T3.TERA [DWDM RUAS Benculuk - Jember] P-D5-RKT TO P-D5-MTR BE-29 1X100G DOWN TRAFIK NORMAL","SURABAYA SELATAN","RKT",""
"INC18786057","2024-11-06 11:50:31","[SQM PROACTIVE GAMAS] [ODP-GSK-FAJ/54]| IboosterG_8931730865971","SURABAYA UTARA","GSK","ODP-GSK-FAJ/54"
"INC18785888","2024-11-06 11:50:26","[SQM PROACTIVE GAMAS] [ODP-KEP-FH/72]| IboosterG_6911730866561","MALANG","KEP","ODP-KEP-FH/72"
"INC18785887","2024-11-06 11:50:25","[SQM PROACTIVE GAMAS] [ODP-PKS-FW/47]| IboosterG_6911730866535","MALANG","PKS","ODP-PKS-FW/47"
"INC18785879","2024-11-06 11:50:21","[SQM PROACTIVE GAMAS] [ODP-SBI-FC/11]| IboosterG_44911730866512","KEDIRI","SBI","ODP-SBI-FC/11"
"INC18785857","2024-11-06 11:50:09","[SQM PROACTIVE GAMAS] [ODP-BNO-FK/22]| IboosterG_33911730863844","DENPASAR","BNO","ODP-BNO-FK/22"
